lei,lender_name,source_year,source,status
01ERPZV3DOLNXY2MLB90,"Libertyville Bank & Trust Company, N.A.",2025,Official HMDA Data Browser filers API,matched
01J4SO3XTWZF4PP38209,Trustmark National Bank,2025,Official HMDA Data Browser filers API,matched
01KWVG908KE7RKPTNP46,HomeStreet Bank,2025,Official HMDA Data Browser filers API,matched
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",2025,Official HMDA Data Browser filers API,matched
1DU7IM20QESYGDO4HO54,The Northwestern Mutual Life Insurance Company,2025,Official HMDA Data Browser filers API,matched
1IE8VN30JCEQV1H4R804,"HSBC BANK USA, NATIONAL ASSOCIATION",2025,Official HMDA Data Browser filers API,matched
1TMVIO1SD0RLIPEIW803,Great Southern Bank,2025,Official HMDA Data Browser filers API,matched
1VUZZZCW0TWP6R7N3Z33,Union Savings Bank,2025,Official HMDA Data Browser filers API,matched
20TVKH7M13MUBGE80C53,Independent Bank,2025,Official HMDA Data Browser filers API,matched
2138004QPZ7FMGPTU106,CorTrust Bank National Association,2025,Official HMDA Data Browser filers API,matched
21380054U5NKZKBQ4128,Central Federal Savings and Loan Association,2025,Official HMDA Data Browser filers API,matched
2138005KH543RLMQHE28,CITIZENS SAVINGS BANK AND TRUST COMPANY,2024,Official HMDA Data Browser filers API,matched
2138007DQF1WY8NDYM18,NORTHWEST BANK OF ROCKFORD,2025,Official HMDA Data Browser filers API,matched
2138009TTY1M4OJRXV14,BANKORION,2025,Official HMDA Data Browser filers API,matched
213800GF3VF8WSF5Q651,FOREST PARK NATIONAL BANK AND TRUST COMPANY,2025,Official HMDA Data Browser filers API,matched
213800K8DDKEL9X4OK57,FIRST SOUTHERN BANK.,2024,Official HMDA Data Browser filers API,matched
213800KVD76WKI6PN868,"CAPITAL CENTER, L.L.C.",2025,Official HMDA Data Browser filers API,matched
213800M6RMI3YBX62W88,"CORTRUST MORTGAGE, INC.",2025,Official HMDA Data Browser filers API,matched
213800QUAI2VH5YM6310,"EMBRACE HOME LOANS, INC.",2025,Official HMDA Data Browser filers API,matched
213800THW6KSUL191M34,FIRST COMMUNITY CREDIT UNION,2023,Official HMDA Data Browser filers API,matched
213800XR2TCBQJSF1X93,NBKC BANK,2025,Official HMDA Data Browser filers API,matched
25490000OGVJZR74L509,Utah Mortgage Loan Corporation,2025,Official HMDA Data Browser filers API,matched
25490000VM5YTLF4NM50,FOCUS BANK,2024,Official HMDA Data Browser filers API,matched
25490001F0A9F7BV6B05,Albany Bank and Trust Company National Association,2025,Official HMDA Data Browser filers API,matched
254900040LMONERSH242,VISIONBANK OF IOWA,2023,Official HMDA Data Browser filers API,matched
25490007ROE3S0978636,Monterey Credit Union,2025,Official HMDA Data Browser filers API,matched
2549000A72B92T5BS479,Bank of Travelers Rest,2023,Official HMDA Data Browser filers API,matched
2549000C5KZ15Q2U9V68,BANK,2025,Official HMDA Data Browser filers API,matched
2549000PNXYVRN44TV91,My Community Credit Union,2023,Official HMDA Data Browser filers API,matched
2549000U02CCY5TWKA10,,,Official HMDA Data Browser filers API,unmatched
2549000VVDQ9NNW01Q23,Listerhill Credit Union,2024,Official HMDA Data Browser filers API,matched
2549000VZA9BKX17VB15,Independence Bank,2024,Official HMDA Data Browser filers API,matched
25490010EMNKWA8L9813,Downey Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
25490010KVYW9UG1WT69,PROVIDENCE FEDERAL CREDIT UNION,2023,Official HMDA Data Browser filers API,matched
254900114YHTRFBALC74,"Genesis Capital, LLC",2025,Official HMDA Data Browser filers API,matched
254900132A3VX6LLZU43,Associated Credit Union,2025,Official HMDA Data Browser filers API,matched
25490014T1E9ZF0ODZ87,"ECLIPSE BANK, INC.",2025,Official HMDA Data Browser filers API,matched
254900158KALQ2PWDU44,The Adirondack Trust Company,2025,Official HMDA Data Browser filers API,matched
25490018IFQOT83Q7H49,"GO MORTGAGE, LLC",2025,Official HMDA Data Browser filers API,matched
2549001E11O22GGBEL86,Prairie State Bank and Trust,2025,Official HMDA Data Browser filers API,matched
2549001EL4XFDHGNJO24,USC Credit Union,2025,Official HMDA Data Browser filers API,matched
2549001FRVJW21ARMV74,RNB State Bank,2023,Official HMDA Data Browser filers API,matched
2549001IK7UDPADKAG34,Unitus Community Credit Union,2025,Official HMDA Data Browser filers API,matched
2549001NJY765EZWDI06,"RELIANT HOME FUNDING, INC",2025,Official HMDA Data Browser filers API,matched
2549001R6R928Y08SC30,"Black Hills Community Bank, N.A.",2025,Official HMDA Data Browser filers API,matched
2549001R901BOUXDJQ68,Bank of Holly Springs,2023,Official HMDA Data Browser filers API,matched
2549001SGCT0DXW9UA79,The First National Bank of Mount Dora,2025,Official HMDA Data Browser filers API,matched
2549001SI0EMFPT39035,"Cornerstone First Mortgage, Inc",2025,Official HMDA Data Browser filers API,matched
2549001SMFSVFT382M09,Time Bank,2023,Official HMDA Data Browser filers API,matched
2549001TX8MBDGWWWF50,First National Bank of Kentucky,2024,Official HMDA Data Browser filers API,matched
2549001URDOO8V3DI280,First Federal Savings and Loan Association of Greensburg,2025,Official HMDA Data Browser filers API,matched
2549001VTOPU7JA6G249,FNCB Bank,2023,Official HMDA Data Browser filers API,matched
2549001XVX1R2ITF6935,Hearthside Bank Corporation,2025,Official HMDA Data Browser filers API,matched
2549001ZX3163R62TB83,UNIFIED BANK,2025,Official HMDA Data Browser filers API,matched
25490021P4C9ZH17EO78,MORTGAGE CLEARING CORPORATION,2025,Official HMDA Data Browser filers API,matched
254900237R332M8L2724,The Miners National Bank of Eveleth,2023,Official HMDA Data Browser filers API,matched
25490024BC19WWC88469,Security Savings Bank,2023,Official HMDA Data Browser filers API,matched
2549002AEOG52GLE5B68,"Affinity Bancshares, Inc.",2023,Official HMDA Data Browser filers API,matched
2549002AOWUCD3BSTP80,AmeriFirst Bank,2025,Official HMDA Data Browser filers API,matched
2549002CETMLVOOVS913,The Claxton Bank,2025,Official HMDA Data Browser filers API,matched
2549002DGXCCIY4BGZ41,Complex Community Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
2549002KNNRT791PG760,Farmers and Merchants Bank,2025,Official HMDA Data Browser filers API,matched
2549002N9QET42VCAS33,New Market Bank,2025,Official HMDA Data Browser filers API,matched
2549002OCMCJIOOONI88,United Bank of Iowa,2024,Official HMDA Data Browser filers API,matched
2549002VH9C0PKB8K153,Logan Finance Corporation,2025,Official HMDA Data Browser filers API,matched
2549002W5VVAQ5IH5726,Goodfield State Bank,2025,Official HMDA Data Browser filers API,matched
25490031FYE1X5QNTK83,First Basin Credit Union,2025,Official HMDA Data Browser filers API,matched
25490034TADWBQX5BB10,Peoples State Bank,2025,Official HMDA Data Browser filers API,matched
25490036VZXFDDH37Q07,Century Bank of Georgia,2024,Official HMDA Data Browser filers API,matched
254900378RFGMBEKAF12,Empeople Credit Union,2025,Official HMDA Data Browser filers API,matched
25490039MDCTJ7ZJ8204,Century Credit Union,2025,Official HMDA Data Browser filers API,matched
2549003GSJF52BBIBW81,LENDING CAPITAL GROUP Inc,2025,Official HMDA Data Browser filers API,matched
2549003IXQM06TTWQV75,Andover State Bank,2024,Official HMDA Data Browser filers API,matched
2549003K48UGTWEK6O31,SECURED INVESTMENT CORP.,2024,Official HMDA Data Browser filers API,matched
2549003KE4TBG4N5AY60,Union Bank,2023,Official HMDA Data Browser filers API,matched
2549003O1765OJT2BV03,American Riviera Bank,2025,Official HMDA Data Browser filers API,matched
2549003SD8SH7JXN6S72,"First Bankers Trust Company, National Association",2025,Official HMDA Data Browser filers API,matched
2549003SYL72OG7Y6S21,Superior National Bank,2025,Official HMDA Data Browser filers API,matched
2549003Z8R5QM0WPS603,IDB Global Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
2549003ZYZM7FHPZV590,DEPARTMENT OF THE INTERIOR FEDERAL CREDIT UNION,2025,Official HMDA Data Browser filers API,matched
25490041Y3ITG7RD6H37,"Chain Bridge Bank, National Association",2025,Official HMDA Data Browser filers API,matched
254900433OUXXNWBRL57,First Commerce Bank,2023,Official HMDA Data Browser filers API,matched
25490043Z1O3CFY7D576,First National Bank of Hereford,2025,Official HMDA Data Browser filers API,matched
25490046GL77VSFSYG24,Signature Bank of Arkansas,2025,Official HMDA Data Browser filers API,matched
25490049BUGXLHXJZD76,The Credit Union For All,2025,Official HMDA Data Browser filers API,matched
25490049RRVB8S6CG210,Farmers and Merchants Bank of Long Beach,2025,Official HMDA Data Browser filers API,matched
2549004CKM8OCTXNKO02,"SouthTrust Bank, N.A.",2025,Official HMDA Data Browser filers API,matched
2549004CU9LAM5CYA280,KWIK MORTGAGE CORPORATION,2025,Official HMDA Data Browser filers API,matched
2549004DP0SBHRLH4J27,The Bank of Magnolia Company,2024,Official HMDA Data Browser filers API,matched
2549004EEJO192FMAC61,KODABANK,2025,Official HMDA Data Browser filers API,matched
2549004EXIAAMK5CLH54,Capital City Bank,2025,Official HMDA Data Browser filers API,matched
2549004FXPNKCLIN8250,"Synergy One Lending, Inc.",2025,Official HMDA Data Browser filers API,matched
2549004G86NS7ZIP2L97,I3 Bank,2023,Official HMDA Data Browser filers API,matched
2549004NC9AQ00THAD39,"WAGGONER NATIONAL BANK OF VERNON, THE",2025,Official HMDA Data Browser filers API,matched
2549004O2ZT0HSAP5S70,First Independence Bank,2025,Official HMDA Data Browser filers API,matched
2549004OC91L41W9XR37,EDUCATIONAL EMPLOYEES CREDIT UNION,2025,Official HMDA Data Browser filers API,matched
2549004ODQE9FVROV477,"So-Cal Capital, Inc.",2025,Official HMDA Data Browser filers API,matched
2549004SC7QSM97SYR40,Farmers State Bank of Western Illinois,2023,Official HMDA Data Browser filers API,matched
2549004W2JKWS6P17T44,United Bank of Michigan,2025,Official HMDA Data Browser filers API,matched
2549004W7ZN0N715U578,CommonWealth Central Credit Union,2025,Official HMDA Data Browser filers API,matched
2549004WBDC394DA3W87,Premier Credit Union,2025,Official HMDA Data Browser filers API,matched
2549004XDCE3LGQW7H72,,,Official HMDA Data Browser filers API,unmatched
2549004XJQQPBYQSMT39,Quontic Bank,2025,Official HMDA Data Browser filers API,matched
2549004YKXDDHUWUOH37,,,Official HMDA Data Browser filers API,unmatched
2549004Z576VEJBK3N72,"NQM FUNDING, LLC",2025,Official HMDA Data Browser filers API,matched
2549004ZRHLORHQ9LT73,Exchange Bank,2025,Official HMDA Data Browser filers API,matched
25490051DLR50J3F0F68,"Abundance 99, Inc.",2025,Official HMDA Data Browser filers API,matched
25490053QEQO83AZIX15,Citizens Community Bank,2025,Official HMDA Data Browser filers API,matched
254900561K135J92VD38,First Security Bank,2025,Official HMDA Data Browser filers API,matched
25490059CRJPDQXWL974,AUBURN COMMUNITY FEDERAL CREDIT UNION,2025,Official HMDA Data Browser filers API,matched
2549005AK04LGIZGXS10,The First National Bank of Anson,2025,Official HMDA Data Browser filers API,matched
2549005AULHKP8HBJL75,Home Bank of California,2023,Official HMDA Data Browser filers API,matched
2549005B0YP23JCTYV51,POPA FEDERAL CREDIT UNION,2025,Official HMDA Data Browser filers API,matched
2549005B6S44QVVMBU11,"First Grayson Bancorp, Inc.",2025,Official HMDA Data Browser filers API,matched
2549005BWLPEBQA7QJ63,Ohio Catholic Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
2549005DO6VPVH5MOS59,CREDIT UNION OF SOUTHERN CALIFORNIA,2025,Official HMDA Data Browser filers API,matched
2549005FUF02T1IFCA22,,,Official HMDA Data Browser filers API,unmatched
2549005HG8EMM4748S60,Germantown Trust & Savings Bank,2025,Official HMDA Data Browser filers API,matched
2549005IUIJTSX4P5695,The First National Bank of Bellville,2025,Official HMDA Data Browser filers API,matched
2549005K0ZG1MFV3R260,Reliable Holdings Manager dba Lendz Financial,2025,Official HMDA Data Browser filers API,matched
2549005LG69OCBT9WE71,The Riddell National Bank,2025,Official HMDA Data Browser filers API,matched
2549005NO86X9J3D1U18,Anoka Hennepin Credit Union,2023,Official HMDA Data Browser filers API,matched
2549005O94DAZVV0P036,Cross County Savings Bank,2025,Official HMDA Data Browser filers API,matched
2549005PPHHZWJNR6L41,Exchange Bank of Missouri,2023,Official HMDA Data Browser filers API,matched
2549005PYIZHRT9M1C75,First FarmBank,2023,Official HMDA Data Browser filers API,matched
2549005Q4HZ55QX7YC64,"Watermark Capital, Inc.",2025,Official HMDA Data Browser filers API,matched
2549005RQQ9A5CNFVG05,COMMERCIAL BANKING COMPANY,2025,Official HMDA Data Browser filers API,matched
2549005SIVTHG14U2905,A&D Mortgage LLC,2025,Official HMDA Data Browser filers API,matched
2549005SKP81W00YW119,The First National Bank of Dryden,2025,Official HMDA Data Browser filers API,matched
2549005T4NUXGTZTUE50,McCoy Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
2549005Z23HAAZ6QDM98,,,Official HMDA Data Browser filers API,unmatched
254900641GGR26VXNC67,Sidney Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
254900667M5CK6Y3DF27,Banco do Brasil Americas,2025,Official HMDA Data Browser filers API,matched
25490066WMF8ZMQXQB18,"Lendage, LLC",2025,Official HMDA Data Browser filers API,matched
254900695MEPYT475810,Charter Bank,2025,Official HMDA Data Browser filers API,matched
2549006970DDWK8E1864,FIELDPOINT PRIVATE BANK & TRUST,2024,Official HMDA Data Browser filers API,matched
25490069UL3FH6Q66B18,Oswego Teachers Employees Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
2549006A34A1F1ZGTT81,East Cambridge Savings Bank,2024,Official HMDA Data Browser filers API,matched
2549006AC9Y4MDVXIL37,Extra,2025,Official HMDA Data Browser filers API,matched
2549006HGDHH72X1BE36,The Greenwood's State Bank,2025,Official HMDA Data Browser filers API,matched
2549006HZDO3SULWNR95,Outdoor Bank,2025,Official HMDA Data Browser filers API,matched
2549006I89JVMC44TE62,Murphy-Wall State Bank and Trust Company,2023,Official HMDA Data Browser filers API,matched
2549006II76YXSS5XM65,"George Mason Mortgage, LLC",2023,Official HMDA Data Browser filers API,matched
2549006L3U88MNTL7K26,Stillman BancCorp N.A.,2025,Official HMDA Data Browser filers API,matched
2549006MTEQ1VE0AAQ20,PINNACLE BANK,2025,Official HMDA Data Browser filers API,matched
2549006MX2M0D119SZ27,Dover Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
2549006ONI6N95VKB649,Southern Michigan Bank & Trust,2025,Official HMDA Data Browser filers API,matched
2549006RTCWYNJPDX013,Envision Credit Union,2024,Official HMDA Data Browser filers API,matched
2549006SH1GKAA6QVG47,BANK OF MADISON,2025,Official HMDA Data Browser filers API,matched
2549006T1BV8J2I7XC10,Citizens State Bank,2025,Official HMDA Data Browser filers API,matched
2549006T9J2DMLJVRS64,Municipal Credit Union,2025,Official HMDA Data Browser filers API,matched
2549006U8SXATH10WI14,Exchange Bank & Trust,2024,Official HMDA Data Browser filers API,matched
2549006V23YD1XWUR350,MapleMark Bank,2025,Official HMDA Data Browser filers API,matched
2549006VBLRP288VX853,"American Bank, National Association",2025,Official HMDA Data Browser filers API,matched
2549006VWQC6XCFQO747,Mission City Federal Credit Union,2025,Official HMDA Data Browser filers API,matched
2549006WPD8JIY1AFO12,Southeast First National Bank,2025,Official HMDA Data Browser filers API,matched
25490070QB5LWJ9JID79,"Community Bank & Trust, Waco, Texas",2025,Official HMDA Data Browser filers API,matched
25490072C0PMGDUJQU77,GNB BANK,2025,Official HMDA Data Browser filers API,matched
25490074OSKMLQ1W0I88,Castle Rock Bank,2025,Official HMDA Data Browser filers API,matched
25490074WALW1U7G4555,The Farmers Bank and Savings Company,2025,Official HMDA Data Browser filers API,matched
25490076YOMAEM6W0N66,West Central Bank,2025,Official HMDA Data Browser filers API,matched
2549007AU24FVDMNUB40,Connexus Credit Union,2025,Official HMDA Data Browser filers API,matched
2549007E9BI08H1N1T92,AAFMAA Mortgage Services LLC,2025,Official HMDA Data Browser filers API,matched
2549007G9V4FYWWWDZ31,"Acre Mortgage & Financial, Inc.",2025,Official HMDA Data Browser filers API,matched
2549007GLTHLP3ZYS308,The First National Bank of Gilbert,2025,Official HMDA Data Browser filers API,matched
2549007IU6SKFLLNKZ07,PACIFIC LENDING LLC,2025,Official HMDA Data Browser filers API,matched
2549007JQKHU8KQ0FC19,"FIRSTTRUST HOME LOANS, INC.",2025,Official HMDA Data Browser filers API,matched
2549007JZSAICH4GZJ60,POINT MORTGAGE CORPORATION,2025,Official HMDA Data Browser filers API,matched
2549007LQQOUAPFNHY39,OPTIONWIDE FINANCIAL CORPORATION,2024,Official HMDA Data Browser filers API,matched
2549007M6CTUCB5K0R54,San Joaquin Power Employees Credit Union,2025,Official HMDA Data Browser filers API,matched
2549007NTZZX7VJJPB03,TexasBank,2025,Official HMDA Data Browser filers API,matched
2549007Q0B6XK1XTYG16,First State Bank of Le Center,2025,Official HMDA Data Browser filers API,matched
2549007QTEURUDVZQ980,FIRST CAPITAL BANK,2025,Official HMDA Data Browser filers API,matched
2549007RR4DXYXPJCZ82,FREEDOM BANK OF SOUTHERN MISSOURI,2023,Official HMDA Data Browser filers API,matched
2549007UK2BZOOSF6C76,"First Security Bank, Batesville, Mississippi",2024,Official HMDA Data Browser filers API,matched
2549007UO49TL9LEDN58,"LINKED HOME LOANS, LLC",2025,Official HMDA Data Browser filers API,matched
2549007W5PWUV8XG3V90,RCB Bank,2025,Official HMDA Data Browser filers API,matched
2549007WBD70RLDH1669,FIRST PEOPLES COMMUNITY FEDERAL CREDIT UNION,2025,Official HMDA Data Browser filers API,matched
2549007ZL90U2M5ZNA78,United Fidelity Funding Corp.,2023,Official HMDA Data Browser filers API,matched
254900826Z45GD791J96,Grinnell State Bank,2024,Official HMDA Data Browser filers API,matched
2549008684GZZI5B5H82,encurage financial network,2024,Official HMDA Data Browser filers API,matched
25490087M8OYX68SQN42,"ISB Capital, LLC",2025,Official HMDA Data Browser filers API,matched
2549008AGLU4AEH9GZ71,Pineland Bank,2025,Official HMDA Data Browser filers API,matched
2549008CUN0J8JKWUL22,Telco Plus Credit Union,2025,Official HMDA Data Browser filers API,matched
2549008CZOYIG4FIKS25,Forbright Bank,2024,Official HMDA Data Browser filers API,matched
2549008DKNX6KPDOUX53,Wellington State Bank,2025,Official HMDA Data Browser filers API,matched
2549008F85XOERURYW13,First Savings Bank of Hegewisch,2025,Official HMDA Data Browser filers API,matched
2549008G9SP4WM32NN96,"WARSHAW CAPITAL, LLC",2025,Official HMDA Data Browser filers API,matched
2549008LK3474E9U2888,ONPOINT COMMUNITY CREDIT UNION,2025,Official HMDA Data Browser filers API,matched
2549008LUH7QKMXQ8N53,Flanagan State Bank,2025,Official HMDA Data Browser filers API,matched
2549008N2M81OOM8SX05,"First Bridge Funding, LLC",2025,Official HMDA Data Browser filers API,matched
2549008NZFLT1BQ8EN23,Kirtland Federal Credit Union,2024,Official HMDA Data Browser filers API,matched
2549008O36ZLTWMCKU62,"F & M Community Bank, National Association",2025,Official HMDA Data Browser filers API,matched
2549008TT6UNYR7AXF54,"Sunflower Bank, National Association",2025,Official HMDA Data Browser filers API,matched
2549008VBYJ5IEXJDR42,,,Official HMDA Data Browser filers API,unmatched
2549008X67CV1MNM7747,MEADOWBROOK FINANCIAL MORTGAGE BANKERS CORP.,2025,Official HMDA Data Browser filers API,matched
2549008XU46NWFIFUY72,"Shelby Savings Bank, SSB",2025,Official HMDA Data Browser filers API,matched
25490099UNYWX2PZ4J91,"WNB FINANCIAL, N.A.",2025,Official HMDA Data Browser filers API,matched
2549009BJ1OZ4H7KTG46,Churchill Funding I LLC,2025,Official HMDA Data Browser filers API,matched
2549009DWV1Z50JILS65,The First National Bank of Groton,2025,Official HMDA Data Browser filers API,matched
2549009E2AX2506YWP38,"Bank of Brenham, National Association",2025,Official HMDA Data Browser filers API,matched
2549009GDCGUR2T6KU55,"Hingham Institution for Savings, The",2025,Official HMDA Data Browser filers API,matched
2549009GERLEDM651T51,Vermillion State Bank,2025,Official HMDA Data Browser filers API,matched
2549009I5SQ5XN6WFU76,Residential First Capital,2025,Official HMDA Data Browser filers API,matched
